normalized_id,source_log_type,event_kind,event_action,event_time_epoch,event_time_iso,source,entity_id,entity_type,source_entity_id,target_entity_id,process_pid,process_ppid,process_tgid,process_name,process_exe,process_command_line,user_uid,user_euid,group_gid,group_egid,file_path,file_subtype,file_permissions,file_mode,src_ip,dst_ip,src_port,dst_port,local_address,local_port,remote_address,remote_port,protocol_name,protocol_number,network_direction,flow_duration,duration,rate,srate,drate,header_length,total_size,total_sum,packet_number,iat,tcp_fin,tcp_syn,tcp_rst,tcp_psh,tcp_ack,tcp_urg,tcp_ece,tcp_cwr,ack_count,syn_count,fin_count,urg_count,rst_count,protocol_http,protocol_https,protocol_dns,protocol_tcp,protocol_udp,protocol_icmp,label,sub_label,sub_label_cat
8b6765b85687fc106c38efdd4a400f5f,system,process,process_observed,1701468825.787,2023-12-01T22:13:45.787000Z,syscall,8b6765b85687fc106c38efdd4a400f5f,Process,,,918.0,913.0,,openvpn,/usr/bin/dash,/bin/sh /etc/network/if-up.d/openvpn,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
d21815d17a21b2ce4e79d4b99847a536,system,process,process_observed,1701468825.955,2023-12-01T22:13:45.955000Z,syscall,d21815d17a21b2ce4e79d4b99847a536,Process,,,958.0,888.0,,sh,/usr/bin/dash,sh -c /usr/bin/lsb_release -sd 2>/dev/null,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
36901dfde7738bc8074a419b1a715e21,system,process,process_observed,1701468826.123,2023-12-01T22:13:46.123000Z,syscall,36901dfde7738bc8074a419b1a715e21,Process,,,971.0,888.0,,sh,/usr/bin/dash,sh -c /usr/bin/lsb_release -sr 2>/dev/null,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
7d5e5d836e89f5a2f5ed358481a431fe,network,network_flow,flow_observed,1701658980.329813,2023-12-04T03:03:00.329813Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.63.128,1883.0,52053.0,,,,,TCP,6.0,internal,1254.2172479629517,64.0,12.131869518389422,12.131869518389422,0.0,1145692.0,85.0,453.0,6.0,0.4945778846740722,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10084.0,15216.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
de9d2f882199223d48c707eabca97f65,network,network_flow,flow_observed,1701658980.699472,2023-12-04T03:03:00.699472Z,,,,,,,,,,,,,,,,,,,,172.16.66.128,172.16.64.128,502.0,51440.0,,,,,TCP,6.0,internal,0.1160190105438232,64.0,284.4361440880853,284.4361440880853,0.0,2330.0,66.0,264.0,4.0,0.0002899169921875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,8.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
f356729a0e06f36391c3ca5bb1a84e08,network,network_flow,flow_observed,1701658982.845765,2023-12-04T03:03:02.845765Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.63.128,1883.0,52053.0,,,,,TCP,6.0,internal,1256.7332000732422,64.0,12.134636054105384,12.134636054105384,0.0,1148259.0,66.0,302.0,4.0,0.0005710124969482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10107.0,15250.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
c4367d7f60df2e456ca6a3593707d3ec,network,network_flow,flow_observed,1701469508.649615,2023-12-01T22:25:08.649615Z,,,,,,,,,,,,,,,,,,,,192.168.4.3,3.5.79.10,46687.0,443.0,,,,,TCP,6.0,outbound,0.7941510677337646,63.0,117.10618266294117,117.10618266294117,0.0,66586.0,1514.0,4704.0,6.0,0.0025739669799804,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,91.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0
79cf9ec5fef160695ab105c339e85d1c,network,network_flow,flow_observed,1701469508.673211,2023-12-01T22:25:08.673211Z,,,,,,,,,,,,,,,,,,,,192.168.4.3,3.5.79.10,46687.0,443.0,,,,,TCP,6.0,outbound,0.8177471160888672,63.0,133.2930411559588,133.2930411559588,0.0,73290.0,1514.0,1568.0,2.0,0.0027480125427246,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,107.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0
24b071700976d455bb34e030d6e4a2f7,network,network_flow,flow_observed,1701469539.739706,2023-12-01T22:25:39.739706Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.63.128,1883.0,52053.0,,,,,TCP,6.0,internal,388.11275696754456,64.0,11.94755883890661,11.94755883890661,0.0,349128.0,84.0,666.0,9.0,0.4937939643859863,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3069.0,4635.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
a8ec1c60a2207eb8a091ccdc718a3331,network,network_flow,flow_observed,1701558169.58498,2023-12-02T23:02:49.584980Z,,,,,,,,,,,,,,,,,,,,172.16.66.128,172.16.64.128,502.0,60974.0,,,,,TCP,6.0,internal,0.0049450397491455,64.0,1011.1142182151294,1011.1142182151294,0.0,370.0,74.0,1485.0,0.0,1701558169.58498,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0
