organization,source_row_number,groundtruth_time,groundtruth_tactic,groundtruth_technique,Unnamed: 0,normalized_id,source_log_type,event_kind,event_action,event_time_epoch,event_time_iso,source,entity_id,entity_type,source_entity_id,target_entity_id,process_pid,process_ppid,process_tgid,process_name,process_exe,process_command_line,user_uid,user_euid,group_gid,group_egid,file_path,file_subtype,file_permissions,file_mode,src_ip,dst_ip,src_port,dst_port,local_address,local_port,remote_address,remote_port,protocol_name,protocol_number,network_direction,flow_duration,duration,rate,srate,drate,header_length,total_size,total_sum,packet_number,iat,tcp_fin,tcp_syn,tcp_rst,tcp_psh,tcp_ack,tcp_urg,tcp_ece,tcp_cwr,ack_count,syn_count,fin_count,urg_count,rst_count,protocol_http,protocol_https,protocol_dns,protocol_tcp,protocol_udp,protocol_icmp,label,sub_label,sub_label_cat
org_1,2,1701468825.819,Benign,Benign,28466,3a22a2e9f1f6905299186a52e8b7d339,system,process,process_observed,1701468825.819,2023-12-01T22:13:45.819000Z,syscall,3a22a2e9f1f6905299186a52e8b7d339,Process,,,920.0,878.0,,sh,/usr/bin/dash,/bin/sh -c /bin/run-parts --exit-on-error /etc/network/if-up.d,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
org_1,5,1701468825.823,Benign,Benign,28471,998119880cb22df8c0895f70d3881a4f,system,process,process_observed,1701468825.823,2023-12-01T22:13:45.823000Z,syscall,998119880cb22df8c0895f70d3881a4f,Process,,,923.0,920.0,,run-parts,/usr/bin/run-parts,/bin/run-parts --exit-on-error /etc/network/if-up.d,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
org_1,8,1701468825.835,Benign,Benign,28482,ceb0e71ab1688d31dd8e2c1f08734f5a,system,process,process_observed,1701468825.835,2023-12-01T22:13:45.835000Z,syscall,ceb0e71ab1688d31dd8e2c1f08734f5a,Process,,,925.0,923.0,,bind9,/usr/bin/dash,/bin/sh -e /etc/network/if-up.d/bind9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
org_1,299898,1701658975.0,cleanup,create staging directory,7095101,323d331914d61608726c5f3f5f061789,network,network_flow,flow_observed,1701658976.598396,2023-12-04T03:02:56.598396Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.66.128,58362.0,502.0,,,,,TCP,6.0,internal,0.0144591331481933,64.0,968.2461497872902,968.2461497872902,0.0,1012.0,66.0,938.0,13.0,7.104873657226562e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
org_1,299899,1701658975.0,cleanup,create staging directory,7095111,a4a8728ece06b8ea738bf825e8a88a1d,network,network_flow,flow_observed,1701658976.693416,2023-12-04T03:02:56.693416Z,,,,,,,,,,,,,,,,,,,,172.16.66.128,172.16.64.128,502.0,58362.0,,,,,TCP,6.0,internal,0.1094791889190673,64.0,219.2197461176117,219.2197461176117,0.0,1736.0,76.0,228.0,3.0,0.0021281242370605,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
org_1,299900,1701658975.0,cleanup,create staging directory,7095169,49d42d724bec610d9894c068e908837f,network,network_flow,flow_observed,1701658978.08124,2023-12-04T03:02:58.081240Z,,,,,,,,,,,,,,,,,,,,172.16.63.128,172.16.64.128,41236.0,22.0,,,,,TCP,6.0,internal,1245.2059779167175,64.0,0.1124311981172993,0.1124311981172993,0.0,13440.0,66.0,66.0,1.0,0.0021119117736816,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
org_1,5132,1701469507.0,collection,create staging directory,54951,838780125fd7344a5c30c306c77419b5,network,network_flow,flow_observed,1701469507.523187,2023-12-01T22:25:07.523187Z,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,,,,ARP,0.0,unknown,0.0,0.0,40.132814012652815,40.132814012652815,0.0,0.0,64.0,2054.0,19.0,2.789497375488281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
org_1,5133,1701469507.0,collection,create staging directory,54992,58024d1430c6befb6ca729ba90146e09,network,network_flow,flow_observed,1701469507.774682,2023-12-01T22:25:07.774682Z,,,,,,,,,,,,,,,,,,,,192.168.4.3,44.230.212.240,48964.0,443.0,,,,,TCP,6.0,outbound,1.1072311401367188,63.0,41.54507431422134,41.54507431422134,0.0,12542.0,54.0,4744.0,0.0,1701469507.774682,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,16.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0
org_1,5158,1701469537.0,collection,find files,56415,65d9dbad3e6ca3b148d3a293ee4912b6,network,network_flow,flow_observed,1701469538.805,2023-12-01T22:25:38.805000Z,,,,,,,,,,,,,,,,,,,,172.16.65.128,172.16.65.1,54829.0,53.0,,,,,UDP,17.0,internal,0.0045540332794189,64.0,1756.6845714884037,1756.6845714884037,0.0,824.0,103.0,1648.0,19.0,0.0019609928131103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
org_1,91198,1701558169.0,command and control,linux download file and run,3452111,bb2a122076c18fa53fa427ef3c43e278,network,network_flow,flow_observed,1701558169.123069,2023-12-02T23:02:49.123069Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.63.128,1883.0,52053.0,,,,,TCP,6.0,internal,14.054078102111816,64.0,12.024979423915784,12.024979423915784,0.0,12749.0,85.0,744.0,10.0,0.4940929412841797,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,169.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
org_1,91199,1701558169.0,command and control,linux download file and run,3452115,d55effbd3fb7d5ccac173d3e0177bdb1,network,network_flow,flow_observed,1701558169.128712,2023-12-02T23:02:49.128712Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.63.128,1883.0,52053.0,,,,,TCP,6.0,internal,14.059720993041992,64.0,12.304653846659964,12.304653846659964,0.0,13054.0,66.0,1049.0,14.0,0.0002229213714599,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,173.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
org_1,91200,1701558169.0,command and control,linux download file and run,3452123,abe624379cbaefb1bc4fe3744ab0727f,network,network_flow,flow_observed,1701558169.587225,2023-12-02T23:02:49.587225Z,,,,,,,,,,,,,,,,,,,,172.16.66.128,172.16.64.128,502.0,60974.0,,,,,TCP,6.0,internal,0.0071899890899658,64.0,973.5758861955763,973.5758861955763,0.0,518.0,74.0,148.0,2.0,0.0002439022064208,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
org_1,192200,1701594972.0,credential access,extract password with grep,4749811,b13edb810af0809462a95804aa44e15a,network,network_flow,flow_observed,1701594972.662442,2023-12-03T09:16:12.662442Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.66.128,54752.0,502.0,,,,,TCP,6.0,internal,0.0044159889221191,64.0,905.7993737177412,905.7993737177412,0.0,296.0,74.0,74.0,1.0,0.0020010471343994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
org_1,192201,1701594972.0,credential access,extract password with grep,4749818,127135fbaed93631ff27b264ad97cebe,network,network_flow,flow_observed,1701594972.669923,2023-12-03T09:16:12.669923Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.66.128,54752.0,502.0,,,,,TCP,6.0,internal,0.0118970870971679,64.0,924.5960721442884,924.5960721442884,0.0,802.0,66.0,580.0,8.0,0.0015790462493896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
org_1,192202,1701594972.0,credential access,extract password with grep,4749820,bf768a3691e1176faf8cbd39c395f7aa,network,network_flow,flow_observed,1701594972.672161,2023-12-03T09:16:12.672161Z,,,,,,,,,,,,,,,,,,,,172.16.64.128,172.16.66.128,54752.0,502.0,,,,,TCP,6.0,internal,0.0141351222991943,64.0,919.6949078212762,919.6949078212762,0.0,934.0,66.0,712.0,10.0,0.0020010471343994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
